Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Episode Title,Anchor,Industry,Business Description,Started in,Number of Presenters,Male Presenters,Female Presenters,Couple Presenters,Pitchers Average Age,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,EBITDA,Cash Burn,SKUs,Has Patents,Bootstrapped,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of Sharks in Deal,Deal Has Conditions,Royalty Deal,Advisory Shares Equity,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ritesh Investment Amount,Ritesh Investment Equity,Ritesh Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Invested Guest Name,All Guest Names,Namita Present,Vineeta Present,Anupam Present,Aman Present,Peyush Present,Ritesh Present,Amit Present,Guest Present
1,Kavach,7,21,20-Dec-21,04-Feb-22,28-Dec-21,A Never Give Up Spirit,Rannvijay Singh,Education,Report bullying incidents,2018,2,1,1,0,Young,Gurgaon,Haryana,0,0,0,0,0,no,0,no,funded,5,10,50,Yes,Yes,5,10,0,0,50,2,no,No,0,0,0,0,0,0,0,2.5,5,0,2.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,LaKheerDeli,7,22,20-Dec-21,04-Feb-22,28-Dec-21,A Never Give Up Spirit,Rannvijay Singh,Food,Kheer in variety of flavors,2018,3,1,2,0,Middle,Pune,Maharashtra,0,6,0,0,0,no,9,no,funded,50,7.5,667,Yes,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,Yes,Yes,Yes,No,No,No,1
1,BeyondSnack,8,23,20-Dec-21,04-Feb-22,29-Dec-21,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,Food,Kerala Banana Chips,2020,1,1,0,0,Middle,Thiruvananthapuram,Kerala,60,20.6,51,0,0,no,0,no,funded,50,2.5,2000,Yes,Yes,50,2.5,0,0,2000,2,no,No,0,0,0,0,0,0,0,0,0,0,25,1.25,0,0,0,0,0,0,0,0,0,0,25,1.25,0,Ashneer Grover,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,VivalyfInnovations,8,24,20-Dec-21,04-Feb-22,29-Dec-21,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,Medical/Health,Easy Life Prickless Diabetes Testing Machine,2021,2,1,1,0,Young,Hyderabad,Telangana,0,0,0,0,0,no,0,no,funded,56,7.5,747,Yes,Yes,56,33.33,0,0,168,2,no,No,0,0,0,0,0,0,0,28,16.66,0,0,0,0,28,16.66,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,MotionBreeze,8,25,20-Dec-21,04-Feb-22,29-Dec-21,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,Vehicles/Electrical Vehicles,Smart Electric Motorcycle,2018,4,4,0,0,Middle,Vadodara,Gujarat,0,0,0,0,0,no,0,yes,funded,30,3,1000,Yes,Yes,30,6,0,0,500,1,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,6,0,Ashneer Grover,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,Altor,9,26,20-Dec-21,04-Feb-22,30-Dec-21,Defining Innovations,Rannvijay Singh,Manufacturing,Smart Helmets,2019,4,4,0,0,Young,Kolkata,West Bengal,0,0,0,0,0,no,0,no,funded,50,5,1000,Yes,Yes,50,7,0,0,714,2,no,No,0,25,3.5,0,0,0,0,0,0,0,25,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,Ariro,9,27,20-Dec-21,04-Feb-22,30-Dec-21,Defining Innovations,Rannvijay Singh,Manufacturing,Wooden Toys,2020,2,1,1,1,Young,Chennai,Tamil Nadu,300,25,50,0,0,no,0,no,funded,50,2.5,2000,Yes,Yes,50,10,0,0,500,2,no,No,0,0,0,0,0,0,0,0,0,0,25,5,0,25,5,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,KabiraHandmad,9,28,20-Dec-21,04-Feb-22,30-Dec-21,Defining Innovations,Rannvijay Singh,Food,Healthy Edible Oils dairy products spices flour,1998,2,1,1,1,Middle,Jaipur,Rajasthan,0,160,3,1,0,no,0,no,funded,100,5,2000,Yes,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,Nuutjob,10,29,20-Dec-21,04-Feb-22,31-Dec-21,Passion About Entrepreneurship,Rannvijay Singh,Beauty/Fashion,Male Intimate Hygiene deo spray,2021,2,0,2,0,Young,Ahmedabad,Gujarat,0,0.002,70,0,0,no,0,no,funded,25,5,500,Yes,Yes,25,20,0,0,125,3,no,No,0,8.33,6.66,0,0,0,0,0,0,0,8.33,6.66,0,8.33,6.66,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,Meatyour,10,30,20-Dec-21,04-Feb-22,31-Dec-21,Passion About Entrepreneurship,Rannvijay Singh,Food,Eggs,2020,3,3,0,0,Middle,Pune,Maharashtra,130,2.8,30,0,0,no,0,no,funded,30,5,600,Yes,Yes,30,20,0,0,150,3,yes,No,0,0,0,0,0,0,0,10,6.66,0,10,6.66,0,10,6.66,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,EventBeep,10,31,20-Dec-21,04-Feb-22,31-Dec-21,Passion About Entrepreneurship,Rannvijay Singh,Education,Student Community App EdTech,2019,3,2,1,0,Young,Pune,Maharashtra,120,0,0,0,0,no,0,no,funded,30,2,1500,Yes,Yes,30,3,0,0,1000,3,no,No,0,0,0,0,0,0,0,0,0,0,10,1,0,10,1,0,0,0,0,0,0,0,10,1,0,Ashneer Grover,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
1,Gopal's56,11,32,20-Dec-21,04-Feb-22,03-Jan-22,Investment Paane Ka Sapna,Rannvijay Singh,Food,Fiber Ice Cream,2014,1,1,0,0,Middle,Delhi,Delhi,80,33,21,0,0,no,0,no,funded,30000,25,120000,No,No,0,0,0,0,0,0,no,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Guest Invested,Ashneer Grover,Yes,No,Yes,Yes,Yes,No,No,1
